desc2,value,date
Natural cheese,97,1974
Natural cheese,99,1975
Natural cheese,99,1976
Natural cheese,101,1977
Natural cheese,99,1978
Natural cheese,102,1979
Natural cheese,103,1980
Natural cheese,103,1981
Natural cheese,100,1982
Natural cheese,107,1983
Natural cheese,102,1984
Natural cheese,103,1985
Natural cheese,110,1986
Natural cheese,108,1987
Natural cheese,109,1988
Natural cheese,106,1989
Natural cheese,105,1990
Natural cheese,107,1991
Natural cheese,103,1992
Natural cheese,100,1993
Natural cheese,96,1994
Natural cheese,98,1995
Natural cheese,98,1996
Natural cheese,97,1997
Natural cheese,93,1998
Natural cheese,93,1999
Natural cheese,97,2000
Natural cheese,100,2001
Natural cheese,99,2002
Natural cheese,99,2003
Natural cheese,96,2004
Natural cheese,104,2005
Natural cheese,103,2006
Natural cheese,106,2007
Natural cheese,99,2008
Natural cheese,105,2009
Natural cheese,107,2010
Natural cheese,108,2011
Natural cheese,104,2012
Natural cheese,107,2013
Natural cheese,100,2014
Processed cheese,8,1974
Processed cheese,8,1975
Processed cheese,8,1976
Processed cheese,7,1977
Processed cheese,7,1978
Processed cheese,7,1979
Processed cheese,6,1980
Processed cheese,7,1981
Processed cheese,7,1982
Processed cheese,7,1983
Processed cheese,7,1984
Processed cheese,7,1985
Processed cheese,8,1986
Processed cheese,8,1987
Processed cheese,8,1988
Processed cheese,9,1989
Processed cheese,9,1990
Processed cheese,9,1991
Processed cheese,10,1992
Processed cheese,9,1993
Processed cheese,10,1994
Processed cheese,10,1995
Processed cheese,12,1996
Processed cheese,11,1997
Processed cheese,10,1998
Processed cheese,10,1999
Processed cheese,12,2000
Processed cheese,12,2001
Processed cheese,12,2002
Processed cheese,14,2003
Processed cheese,14,2004
Processed cheese,12,2005
Processed cheese,13,2006
Processed cheese,12,2007
Processed cheese,12,2008
Processed cheese,11,2009
Processed cheese,11,2010
Processed cheese,11,2011
Processed cheese,10,2012
Processed cheese,11,2013
Processed cheese,10,2014
